standard_name,gene
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMP1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMP11
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMP12
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMP2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMP9
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMRN1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MMRN2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MUC13
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PAPLN
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLOD2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLOD3
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLXNB2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLXNC2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLXND1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,S100A11
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,S100A14
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,S100A16
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SERPINA3
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SERPINF1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SPARC
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SVEP1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,TGFB1
